term,Database,ID,gene_number,Background number,P-Value,p_value_adjusted,enrich_ratio
actin binding,Gene Ontology,GO:0003779,240,300,8.19258E-11,2.94933E-09,0.8
actin cytoskeleton,Gene Ontology,GO:0015629,107,115,1.05244E-07,1.89439E-06,0.930434783
actin cytoskeleton,Gene Ontology,GO:0015629,84,115,4.40398E-05,0.000348609,0.730434783
actin filament binding,Gene Ontology,GO:0051015,169,217,1.58214E-07,2.69796E-06,0.778801843
anatomical structure development,Gene Ontology,GO:0048856,38,56,0.011236087,0.041017173,0.678571429
anatomical structure morphogenesis,Gene Ontology,GO:0009653,65,67,1.53755E-05,0.000120037,0.970149254
angiogenesis,Gene Ontology,GO:0001525,133,186,7.17104E-05,0.000480557,0.715053763
antigen binding,Gene Ontology,GO:0003823,30,40,0.009048479,0.034540388,0.75
antiporter activity,Gene Ontology,GO:0015297,29,33,0.00221701,0.01134144,0.878787879
apoptotic process,Gene Ontology,GO:0006915,109,144,6.464E-05,0.000442535,0.756944444
ATP binding,Gene Ontology,GO:0005524,1500,1658,1.5266E-86,4.94619E-84,0.904704463
ATPase activity,Gene Ontology,GO:0016887,133,191,2.03629E-06,2.09766E-05,0.696335079
autophagosome,Gene Ontology,GO:0005776,23,28,0.010374298,0.03862115,0.821428571
axon,Gene Ontology,GO:0030424,81,129,0.001689647,0.008762857,0.627906977
axon guidance,Gene Ontology,GO:0007411,109,161,0.001194247,0.005971237,0.677018634
axonemal dynein complex assembly,Gene Ontology,GO:0070286,18,18,0.006222811,0.025711833,1
axoneme,Gene Ontology,GO:0005930,34,43,0.012938983,0.042650722,0.790697674
axoneme assembly,Gene Ontology,GO:0035082,18,18,0.006222811,0.025711833,1
B cell receptor signaling pathway,Gene Ontology,GO:0050853,30,40,0.009048479,0.034540388,0.75
blood vessel development,Gene Ontology,GO:0001568,71,77,7.83149E-07,9.06044E-06,0.922077922
blood vessel morphogenesis,Gene Ontology,GO:0048514,45,50,0.000854067,0.004524523,0.9
brain development,Gene Ontology,GO:0007420,181,194,2.00179E-15,7.52672E-14,0.932989691
calcium ion binding,Gene Ontology,GO:0005509,492,691,3.97709E-21,2.62374E-19,0.712011577
calcium ion transmembrane transport,Gene Ontology,GO:0070588,85,90,1.71266E-06,1.65682E-05,0.944444444
