term,ID,gene_number,Background number,p_value,p_value_adjusted,enrich_ratio
nucleotide binding,GO:0000166,1504,1548,5.1303E-127,2.8781E-124,0.971576227
ATP binding,GO:0005524,1446,1658,5.67666E-98,1.5923E-95,0.872135103
membrane,GO:0016020,3938,6613,6.64993E-91,1.24354E-88,0.595493724
plasma membrane,GO:0005886,1631,2132,7.39709E-81,1.03744E-78,0.765009381
integral component of membrane,GO:0016021,3466,5893,1.14774E-72,1.28777E-70,0.588155439
cytoplasm,GO:0005737,2210,3445,3.46998E-63,3.24443E-61,0.641509434
GTP binding,GO:0005525,468,495,6.83411E-37,5.47705E-35,0.945454545
integral component of plasma membrane,GO:0005887,749,994,7.16187E-35,5.02226E-33,0.753521127
catalytic activity,GO:0003824,436,466,9.16642E-34,5.71374E-32,0.935622318
cytosol,GO:0005829,666,861,2.48946E-33,1.39659E-31,0.773519164
kinase activity,GO:0016301,565,694,2.94774E-32,1.50335E-30,0.814121037
ion transport,GO:0006811,452,512,3.93388E-31,1.83909E-29,0.8828125
GTPase activity,GO:0003924,352,355,1.46512E-30,6.32257E-29,0.991549296
phosphorylation,GO:0016310,541,696,1.39027E-27,5.571E-26,0.777298851
signal transduction,GO:0007165,847,1299,7.97678E-25,2.98332E-23,0.652040031
cell adhesion,GO:0007155,327,383,2.48267E-21,8.70485E-20,0.853785901
synapse,GO:0045202,240,252,7.81527E-20,2.57904E-18,0.952380952
cilium assembly,GO:0060271,209,209,5.32653E-19,1.6601E-17,1
transferase activity,GO:0016740,909,1553,7.30557E-17,2.15707E-15,0.585318738
chemical synaptic transmission,GO:0007268,181,186,6.50863E-16,1.82567E-14,0.97311828
hydrolase activity,GO:0016787,669,1086,6.99947E-16,1.86986E-14,0.616022099
cell projection,GO:0042995,188,204,5.94781E-15,1.51669E-13,0.921568627
brain development,GO:0007420,170,194,1.97179E-12,4.4247E-11,0.87628866
carbohydrate metabolic process,GO:0005975,150,164,4.50176E-12,9.71341E-11,0.914634146
phosphoprotein phosphatase activity,GO:0004721,125,128,1.57719E-11,3.27704E-10,0.9765625
microtubule binding,GO:0008017,168,200,2.62554E-11,5.07905E-10,0.84
cytoplasmic vesicle,GO:0031410,159,185,2.73054E-11,5.10612E-10,0.859459459
neurotransmitter receptor activity,GO:0030594,119,121,3.56331E-11,6.44845E-10,0.983471074
innate immune response,GO:0045087,126,133,4.89578E-11,8.58292E-10,0.947368421
protein dephosphorylation,GO:0006470,128,140,1.61567E-10,2.74664E-09,0.914285714
chromatin binding,GO:0003682,160,194,1.94196E-10,3.20424E-09,0.824742268
heart development,GO:0007507,181,236,7.25487E-10,1.16285E-08,0.766949153
extracellular space,GO:0005615,520,897,1.01956E-09,1.58882E-08,0.579710145
protein kinase activity,GO:0004672,431,720,1.58244E-09,2.39932E-08,0.598611111
protein phosphorylation,GO:0006468,431,727,3.80114E-09,5.61168E-08,0.592847318
regulation of apoptotic process,GO:0042981,102,109,4.91397E-09,7.06855E-08,0.935779817
regulation of membrane potential,GO:0042391,91,92,5.6109E-09,7.86929E-08,0.989130435
inflammatory response,GO:0006954,125,153,2.53022E-08,3.37966E-07,0.816993464
dephosphorylation,GO:0016311,112,132,3.38989E-08,4.32211E-07,0.848484848
cell differentiation,GO:0030154,294,471,3.87985E-08,4.83688E-07,0.624203822
vesicle,GO:0031982,80,81,4.72057E-08,5.75704E-07,0.987654321
axon guidance,GO:0007411,125,161,1.78616E-07,2.09602E-06,0.776397516
perinuclear region of cytoplasm,GO:0048471,80,85,1.79338E-07,2.09602E-06,0.941176471
adenylate cyclase-activating G protein-coupled receptor signaling pathway,GO:0007189,93,107,2.26211E-07,2.58988E-06,0.869158879
transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007169,100,119,2.4229E-07,2.71849E-06,0.840336134
protein tyrosine kinase activity,GO:0004713,97,115,3.23697E-07,3.56067E-06,0.843478261
