Species,Event,Value
Clarias gariepinus,WGD,496
Ameiurus melas,WGD,616
Hemibagrus wyckioides,WGD,717
Ictalurus punctatus,WGD,725
Pangasianodon gigas,WGD,708
Pangasianodon hypophthalmus,WGD,929
Pangasius djambal,WGD,714
Silurus meridionalis,WGD,878
Tachysurus fulvidraco,WGD,985
Clarias gariepinus,TD,1463
Ameiurus melas,TD,1240
Hemibagrus wyckioides,TD,1350
Ictalurus punctatus,TD,792
Pangasianodon gigas,TD,872
Pangasianodon hypophthalmus,TD,1454
Pangasius djambal,TD,764
Silurus meridionalis,TD,1566
Tachysurus fulvidraco,TD,1728
Clarias gariepinus,PD-pairs,572
Ameiurus melas,PD-pairs,592
Hemibagrus wyckioides,PD-pairs,441
Ictalurus punctatus,PD-pairs,380
Pangasianodon gigas,PD-pairs,365
Pangasianodon hypophthalmus,PD-pairs,504
Pangasius djambal,PD-pairs,319
Silurus meridionalis,PD-pairs,471
Tachysurus fulvidraco,PD-pairs,902
Clarias gariepinus,TRD-pairs,2970
Ameiurus melas,TRD-pairs,3021
Hemibagrus wyckioides,TRD-pairs,2141
Ictalurus punctatus,TRD-pairs,219
Pangasianodon gigas,TRD-pairs,2774
Pangasianodon hypophthalmus,TRD-pairs,4330
Pangasius djambal,TRD-pairs,3050
Silurus meridionalis,TRD-pairs,4504
Tachysurus fulvidraco,TRD-pairs,4665
Clarias gariepinus,DSD-pairs,8308
Ameiurus melas,DSD-pairs,10530
Hemibagrus wyckioides,DSD-pairs,11844
Ictalurus punctatus,DSD-pairs,1936
Pangasianodon gigas,DSD-pairs,10709
Pangasianodon hypophthalmus,DSD-pairs,11647
Pangasius djambal,DSD-pairs,10410
Silurus meridionalis,DSD-pairs,10785
Tachysurus fulvidraco,DSD-pairs,11317
