chr,start,end,covilm
Chr1,0,25000,19.3727
Chr1,25000,50000,25.633
Chr1,50000,75000,26.2103
Chr1,75000,100000,28.3051
Chr1,100000,125000,25.8684
Chr1,125000,150000,26.8263
Chr1,150000,175000,28.8567
Chr1,175000,200000,26.6183
Chr1,200000,225000,26.2684
Chr1,225000,250000,25.8991
Chr1,250000,275000,26.1119
Chr1,275000,300000,26.9779
Chr1,300000,325000,26.2813
Chr1,325000,350000,24.3026
Chr1,350000,375000,27.8165
Chr1,375000,400000,28.6825
Chr1,400000,425000,26.049
Chr1,425000,450000,27.6988
Chr1,450000,475000,28.5083
Chr1,475000,500000,27.1618
Chr1,500000,525000,28.0407
Chr1,525000,550000,24.8234
Chr1,550000,575000,26.9392
Chr1,575000,600000,23.901
Chr1,600000,625000,23.422
Chr1,625000,650000,24.0171
Chr1,650000,675000,25.5717
Chr1,675000,700000,24.3284
Chr1,700000,725000,26.3554
Chr1,725000,750000,25.2605
Chr1,750000,775000,27.4117
Chr1,775000,800000,25.533
Chr1,800000,825000,29.3469
Chr1,825000,850000,30.4935
Chr1,850000,875000,31.3321
Chr1,875000,900000,29.992
Chr1,900000,925000,28.0439
Chr1,925000,950000,26.1313
Chr1,950000,975000,21.2563
Chr1,975000,1000000,21.5788
Chr1,1000000,1025000,26.4409
Chr1,1025000,1050000,27.8391
Chr1,1050000,1075000,29.6194
Chr1,1075000,1100000,25.0879
Chr1,1100000,1125000,29.076
Chr1,1125000,1150000,27.5327
Chr1,1150000,1175000,15.3798
Chr1,1175000,1200000,19.9387
Chr1,1200000,1225000,27.3956
Chr1,1225000,1250000,28.1987
Chr1,1250000,1275000,27.6375
Chr1,1275000,1300000,26.7457
Chr1,1300000,1325000,28.3761
Chr1,1325000,1350000,27.831
Chr1,1350000,1375000,26.4264
Chr1,1375000,1400000,26.728
Chr1,1400000,1425000,28.3874
Chr1,1425000,1450000,28.1858
Chr1,1450000,1475000,26.886
Chr1,1475000,1500000,25.8813
Chr1,1500000,1525000,22.9173
Chr1,1525000,1550000,23.4866
Chr1,1550000,1575000,29.384
Chr1,1575000,1600000,26.2587
Chr1,1600000,1625000,22.2061
Chr1,1625000,1650000,22.8705
Chr1,1650000,1675000,23.8768
Chr1,1675000,1700000,23.5172
Chr1,1700000,1725000,24.2913
Chr1,1725000,1750000,28.0971
Chr1,1750000,1775000,26.9118
Chr1,1775000,1800000,26.557
Chr1,1800000,1825000,25.4185
Chr1,1825000,1850000,26.9973
Chr1,1850000,1875000,26.5812
Chr1,1875000,1900000,25.1282
Chr1,1900000,1925000,25.3201
Chr1,1925000,1950000,28.1084
Chr1,1950000,1975000,27.2118
Chr1,1975000,2000000,24.488
Chr1,2000000,2025000,22.8963
Chr1,2025000,2050000,23.9655
Chr1,2050000,2075000,28.0278
Chr1,2075000,2100000,24.0671
Chr1,2100000,2125000,25.0105
Chr1,2125000,2150000,24.7009
Chr1,2150000,2175000,28.6728
Chr1,2175000,2200000,25.3266
Chr1,2200000,2225000,24.3929
Chr1,2225000,2250000,26.1813
Chr1,2250000,2275000,23.901
Chr1,2275000,2300000,33.0431
Chr1,2300000,2325000,27.186
Chr1,2325000,2350000,22.6222
Chr1,2350000,2375000,29.0195
Chr1,2375000,2400000,26.0845
Chr1,2400000,2425000,29.4662
Chr1,2425000,2450000,29.5178
Chr1,2450000,2475000,25.0331
Chr1,2475000,2500000,28.3309
Chr1,2500000,2525000,24.5154
Chr1,2525000,2550000,26.3845
Chr1,2550000,2575000,25.6491
Chr1,2575000,2600000,26.5022
Chr1,2600000,2625000,23.9413
Chr1,2625000,2650000,24.6993
Chr1,2650000,2675000,25.2476
Chr1,2675000,2700000,27.3085
Chr1,2700000,2725000,25.5959
Chr1,2725000,2750000,25.4991
Chr1,2750000,2775000,27.1456
Chr1,2775000,2800000,25.6491
Chr1,2800000,2825000,27.823
Chr1,2825000,2850000,28.3213
Chr1,2850000,2875000,21.3692
Chr1,2875000,2900000,26.0716
Chr1,2900000,2925000,26.3232
Chr1,2925000,2950000,27.0182
Chr1,2950000,2975000,27.1344
Chr1,2975000,3000000,23.4043
Chr1,3000000,3025000,26.3845
Chr1,3025000,3050000,26.6425
Chr1,3050000,3075000,30.3838
Chr1,3075000,3100000,27.5778
Chr1,3100000,3125000,31.9094
Chr1,3125000,3150000,26.5538
Chr1,3150000,3175000,27.2618
Chr1,3175000,3200000,26.2813
Chr1,3200000,3225000,25.5104
