chr,stat,end,covtelo
Chr1,0,25000,1025
Chr1,25000,50000,11
Chr1,50000,75000,7
Chr1,75000,100000,7
Chr1,100000,125000,6
Chr1,125000,150000,7
Chr1,150000,175000,8
Chr1,175000,200000,10
Chr1,200000,225000,13
Chr1,225000,250000,18
Chr1,250000,275000,9
Chr1,275000,300000,11
Chr1,300000,325000,7
Chr1,325000,350000,12
Chr1,350000,375000,11
Chr1,375000,400000,5
Chr1,400000,425000,7
Chr1,425000,450000,7
Chr1,450000,475000,4
Chr1,475000,500000,7
Chr1,500000,525000,9
Chr1,525000,550000,7
Chr1,550000,575000,17
Chr1,575000,600000,11
Chr1,600000,625000,7
Chr1,625000,650000,7
Chr1,650000,675000,17
Chr1,675000,700000,11
Chr1,700000,725000,7
Chr1,725000,750000,8
Chr1,750000,775000,8
Chr1,775000,800000,8
Chr1,800000,825000,9
Chr1,825000,850000,12
Chr1,850000,875000,8
Chr1,875000,900000,8
Chr1,900000,925000,7
Chr1,925000,950000,6
Chr1,950000,975000,8
Chr1,975000,1000000,10
Chr1,1000000,1025000,5
Chr1,1025000,1050000,8
Chr1,1050000,1075000,8
Chr1,1075000,1100000,6
Chr1,1100000,1125000,6
Chr1,1125000,1150000,6
Chr1,1150000,1175000,6
Chr1,1175000,1200000,8
Chr1,1200000,1225000,12
Chr1,1225000,1250000,9
Chr1,1250000,1275000,6
Chr1,1275000,1300000,10
Chr1,1300000,1325000,11
Chr1,1325000,1350000,10
Chr1,1350000,1375000,9
Chr1,1375000,1400000,6
Chr1,1400000,1425000,7
Chr1,1425000,1450000,9
Chr1,1450000,1475000,9
Chr1,1475000,1500000,8
Chr1,1500000,1525000,6
Chr1,1525000,1550000,8
Chr1,1550000,1575000,9
Chr1,1575000,1600000,7
Chr1,1600000,1625000,6
Chr1,1625000,1650000,10
Chr1,1650000,1675000,7
Chr1,1675000,1700000,11
Chr1,1700000,1725000,6
Chr1,1725000,1750000,10
Chr1,1750000,1775000,9
Chr1,1775000,1800000,7
Chr1,1800000,1825000,8
Chr1,1825000,1850000,9
Chr1,1850000,1875000,15
Chr1,1875000,1900000,8
Chr1,1900000,1925000,8
Chr1,1925000,1950000,10
Chr1,1950000,1975000,13
Chr1,1975000,2000000,10
Chr1,2000000,2025000,10
Chr1,2025000,2050000,9
Chr1,2050000,2075000,8
Chr1,2075000,2100000,8
Chr1,2100000,2125000,9
Chr1,2125000,2150000,6
Chr1,2150000,2175000,7
Chr1,2175000,2200000,7
Chr1,2200000,2225000,5
Chr1,2225000,2250000,7
Chr1,2250000,2275000,6
Chr1,2275000,2300000,7
Chr1,2300000,2325000,7
Chr1,2325000,2350000,6
Chr1,2350000,2375000,7
Chr1,2375000,2400000,8
Chr1,2400000,2425000,7
Chr1,2425000,2450000,7
Chr1,2450000,2475000,6
Chr1,2475000,2500000,4
Chr1,2500000,2525000,5
Chr1,2525000,2550000,7
Chr1,2550000,2575000,10
Chr1,2575000,2600000,5
Chr1,2600000,2625000,6
Chr1,2625000,2650000,6
Chr1,2650000,2675000,7
Chr1,2675000,2700000,7
Chr1,2700000,2725000,8
Chr1,2725000,2750000,10
Chr1,2750000,2775000,8
Chr1,2775000,2800000,6
Chr1,2800000,2825000,7
Chr1,2825000,2850000,7
Chr1,2850000,2875000,11
Chr1,2875000,2900000,7
Chr1,2900000,2925000,9
Chr1,2925000,2950000,8
Chr1,2950000,2975000,7
Chr1,2975000,3000000,5
Chr1,3000000,3025000,6
Chr1,3025000,3050000,10
Chr1,3050000,3075000,6
Chr1,3075000,3100000,6
Chr1,3100000,3125000,7
Chr1,3125000,3150000,11
Chr1,3150000,3175000,8
Chr1,3175000,3200000,14
Chr1,3200000,3225000,5
Chr1,3225000,3250000,8
Chr1,3250000,3275000,8
Chr1,3275000,3300000,11
Chr1,3300000,3325000,5
Chr1,3325000,3350000,6
Chr1,3350000,3375000,12
Chr1,3375000,3400000,8
Chr1,3400000,3425000,10
Chr1,3425000,3450000,8
Chr1,3450000,3475000,5
Chr1,3475000,3500000,5
Chr1,3500000,3525000,11
Chr1,3525000,3550000,9
Chr1,3550000,3575000,11
Chr1,3575000,3600000,7
Chr1,3600000,3625000,8
Chr1,3625000,3650000,8
Chr1,3650000,3675000,3
Chr1,3675000,3700000,9
Chr1,3700000,3725000,6
Chr1,3725000,3750000,5
Chr1,3750000,3775000,8
Chr1,3775000,3800000,10
Chr1,3800000,3825000,10
Chr1,3825000,3850000,7
Chr1,3850000,3875000,4
Chr1,3875000,3900000,7
Chr1,3900000,3925000,8
Chr1,3925000,3950000,6
Chr1,3950000,3975000,4
Chr1,3975000,4000000,7
Chr1,4000000,4025000,7
Chr1,4025000,4050000,6
Chr1,4050000,4075000,11
Chr1,4075000,4100000,10
Chr1,4100000,4125000,7
Chr1,4125000,4150000,8
Chr1,4150000,4175000,7
Chr1,4175000,4200000,17
Chr1,4200000,4225000,8
Chr1,4225000,4250000,8
Chr1,4250000,4275000,4
Chr1,4275000,4300000,9
Chr1,4300000,4325000,14
Chr1,4325000,4350000,14
Chr1,4350000,4375000,9
Chr1,4375000,4400000,6
Chr1,4400000,4425000,6
Chr1,4425000,4450000,7
Chr1,4450000,4475000,12
Chr1,4475000,4500000,8
Chr1,4500000,4525000,5
Chr1,4525000,4550000,5
Chr1,4550000,4575000,0
Chr1,4575000,4600000,0
Chr1,4600000,4625000,0
Chr1,4625000,4650000,0
Chr1,4650000,4675000,2
Chr1,4675000,4700000,10
Chr1,4700000,4725000,8
Chr1,4725000,4750000,11
Chr1,4750000,4775000,8
Chr1,4775000,4800000,12
Chr1,4800000,4825000,9
Chr1,4825000,4850000,8
Chr1,4850000,4875000,9
Chr1,4875000,4900000,9
Chr1,4900000,4925000,9
Chr1,4925000,4950000,6
